iter	RMSE
0	3.147562349
1	3.09408497
2	3.045892704
3	2.990774663
4	2.946714573
5	2.899269864
6	2.860236829
7	2.822896377
8	2.784672452
9	2.750845124
10	2.720778029
11	2.690522038
12	2.664999331
13	2.640980691
14	2.614622038
15	2.588719082
16	2.569074807
17	2.552760841
18	2.529104876
19	2.511276342
20	2.493775956
21	2.478355151
22	2.461930769
23	2.447059419
24	2.433645943
25	2.422443307
26	2.409212523
27	2.3965908
28	2.387767248
29	2.375691669
30	2.36473048
31	2.355283237
32	2.346567485
33	2.336182368
34	2.326466704
35	2.317680623
36	2.310357251
37	2.304915829
38	2.296210502
39	2.289506972
40	2.283226541
41	2.275198695
42	2.267051124
43	2.263371426
44	2.256113085
45	2.24967447
46	2.244616977
47	2.23972134
48	2.234471007
49	2.228023188
50	2.222985894
51	2.218040155
52	2.213868209
53	2.21028697
54	2.206551456
55	2.200477177
56	2.196305945
57	2.190686192
58	2.187920967
59	2.184030504
60	2.180275578
61	2.177496916
62	2.17378902
63	2.169948852
64	2.166046997
65	2.161621652
66	2.159056412
67	2.15615315
68	2.153563433
69	2.15140891
70	2.148726453
71	2.146180395
72	2.144597882
73	2.142138711
74	2.138816941
75	2.136216914
76	2.134780996
77	2.131691729
78	2.130106607
79	2.128552431
80	2.126707977
81	2.125439803
82	2.122537132
83	2.120866078
84	2.118397434
85	2.117736221
86	2.114068567
87	2.112941106
88	2.109963373
89	2.107608521
90	2.105935695
91	2.103506133
92	2.100709981
93	2.099280583
94	2.097094812
95	2.095410981
96	2.093590022
97	2.091795729
98	2.090912848
99	2.089543913
100	2.088665923
101	2.087122932
102	2.084820432
103	2.08246957
104	2.080622681
105	2.078970566
106	2.078046212
107	2.076550261
108	2.075887808
109	2.074113387
110	2.072338612
111	2.070913413
112	2.068967597
113	2.066773754
114	2.064579918
115	2.063443245
116	2.062155554
117	2.061379078
118	2.06003563
119	2.057911223
120	2.056514269
121	2.055230072
122	2.054029516
123	2.052764714
124	2.051034755
125	2.049932443
126	2.048776603
127	2.046536732
128	2.044831642
129	2.043753653
130	2.042727986
131	2.041271968
132	2.039699451
133	2.038782432
134	2.037281108
135	2.034650594
136	2.033739878
137	2.031178452
138	2.029467097
139	2.027732808
140	2.025813447
141	2.023879742
142	2.023319578
143	2.021973599
144	2.021105751
145	2.020117415
146	2.020007236
147	2.017347069
148	2.016852497
149	2.015054602
150	2.014478392
151	2.013883754
152	2.012926226
153	2.011347473
154	2.01121502
155	2.010150999
156	2.009377632
157	2.007811216
158	2.006781991
159	2.005847331
160	2.003772812
161	2.002170511
162	2.000985618
163	1.999775676
164	1.998212824
165	1.997573511
166	1.995576007
167	1.993773816
168	1.993328618
169	1.99271853
170	1.990543133
171	1.99010093
172	1.989734025
173	1.988355589
174	1.985899839
175	1.985184541
176	1.984585811
177	1.983974289
178	1.982553835
179	1.981340272
180	1.980200992
181	1.979671079
182	1.978821403
183	1.977652619
184	1.976757128
185	1.976223734
186	1.975101825
187	1.974602637
188	1.973929664
189	1.973516372
190	1.972304367
191	1.972217775
192	1.972071067
193	1.970959098
194	1.969479484
195	1.969182074
196	1.968260754
197	1.967304627
198	1.966428794
199	1.965869594
200	1.963363785
201	1.963293539
202	1.961201673
203	1.960726925
204	1.96066698
205	1.959146767
206	1.958288673
207	1.956121106
208	1.955822776
209	1.953844417
210	1.953385922
211	1.952063838
212	1.950386156
213	1.949455715
214	1.947283555
215	1.946548403
216	1.945980262
217	1.945833102
218	1.944824047
219	1.94345702
220	1.942398382
221	1.941869732
222	1.941179603
223	1.940035255
224	1.937597802
225	1.936754617
226	1.935402509
227	1.933767453
228	1.931608326
229	1.930855308
230	1.930143646
231	1.930061825
232	1.927680164
233	1.926248115
234	1.924841204
235	1.922891117
236	1.920752083
237	1.919061884
238	1.918504008
239	1.916789649
240	1.914787449
241	1.914141851
242	1.913055466
243	1.910633406
244	1.909746621
245	1.907436202
